"","WISE3_ID","LATITUDE_DECIMAL","LONGITUDE_DECIMAL","cosine_similarity_index_stage_1","CLIM_PRECIPITATION_DATA","CLIM_GDD","CLIM_ARIDITY_INDEX","CLIM_KOPGEIGER","CKIM_FAO_LGP","topog_elevation","topog_geolage","topog_slope_global","topog_landform_global","topog_twi_global","topog_topi_global","topog_israd_global","WISE3_FAO_74"
"4459","KE0323",0.0663888888889,37.0330555556,0.993623706582197,773,4357,0.4584,3,10,1847,80,2,3,1380,1.567,1733.75,"Vp"
"4460","KE0324",0.0663888888889,37.0211111111,0.992431137719567,768,4357,0.4551,3,10,1843,80,2,3,1390,1.568,1733.75,"Vc"
"6922","TZ0090",-4.37138888889,35.1961111111,0.992093433772981,755,4903,0.5091,3,8,1734,80,2,3,1280,1.56,1733.75,"Vp"
"4380","KE0242",1.07,34.9,0.990439850948761,1075,4230,0.5929,3,11,1853,80,2,3,1300,1.563,1733.75,"Vp"
"6916","TZ0084",-4.30333333333,35.0438888889,0.98922967806381,736,4903,0.4864,3,8,1631,67,5,3,1350,1.56,1733.75,"Vp"
"6166","RW0058",-1.28972222222,30.26,0.978306444724233,891,5067,0.5381,3,12,1412,67,6,3,1190,1.555,1688.125,"Vp"
"4319","KE0179",-1.08,37,0.976410823939144,831,5449,0.4885,3,9,1538,80,2,3,1370,1.567,1688.125,"Vp"
"4323","KE0183",-1.12972222222,37.38,0.974939222468992,814,5449,0.4433,3,8,1328,67,4,3,1210,1.566,1688.125,"Vp"
"4322","KE0182",0.769722222222,36.72,0.974779125577537,533,4532,0.3026,3,9,1809,80,0,3,1350,1.567,1733.75,"Vp"
"6921","TZ0089",-4.32361111111,33.0508333333,0.942141540484558,794,6372,0.46,3,8,1218,67,2,2,1330,1.567,1688.125,"Vp"
"6968","TZ0136",-4.55416666667,33.2291666667,0.931706422457752,793,6345,0.4618,3,8,1252,67,1,2,1280,1.566,1642.5,"Vp"
"6915","TZ0083",-4.35777777778,33.0977777778,0.921950714111112,772,6372,0.4483,3,8,1232,67,1,2,1340,1.57,1642.5,"Vp"
"6120","RW0011",-1.93333333333,30.0666666667,0.912376929566219,961,5083,0.5938,3,12,1378,67,4,3,1140,1.542,1688.125,"Vp"
"4381","KE0243",-2.45,37.1697222222,0.911032860324978,618,6053,0.3667,3,8,1183,26,2,5,1450,1.568,1642.5,"Vp"
"4341","KE0202",-0.762222222222,37.5155555556,0.905815184331264,814,6504,0.4083,3,8,1106,67,6,5,1420,1.563,1642.5,"Vp"
"6967","TZ0135",-4.28333333333,33.9,0.900528234070349,741,6550,0.4263,3,8,1079,26,1,2,1400,1.569,1642.5,"Vp"
"6976","TZ0144",-4.28333333333,33.9,0.900528234070349,741,6550,0.4263,3,8,1079,26,1,2,1400,1.569,1642.5,"Vp"
"545","BI0030",-3.36666666667,29.3166666667,0.860119941251636,898,6187,0.5526,3,10,739,67,0,0,1360,1.557,1596.875,"Vp"
"6165","RW0057",-2.4,28.9697222222,0.842490247400475,1340,4340,0.9042,3,12,1465,72,8,3,1130,1.547,1642.5,"Vc"
"6130","RW0022",-1.66972222222,30.3997222222,0.841203523601585,870,5083,0.5304,3,11,1389,67,4,3,1050,1.535,1688.125,"Vc"
"4458","KE0322",2.11972222222,37.9,0.837229643969772,540,7165,0.2671,3,7,808,72,6,5,1220,1.561,1642.5,"Vp"
"529","BI0014",-2.7,29.0797222222,0.817193841722162,1239,5331,0.736,3,11,1292,67,22,5,1020,1.551,1688.125,"Vp"
"4389","KE0251",0.2675,38.2108333333,0.787892702494357,547,7287,0.2676,3,7,661,72,2,5,1340,1.568,1596.875,"Vp"
"3897","IN0119",22.7166666667,75.8,0.785257680925146,970,7116,0.5508,3,6,563,81,1,2,1350,1.568,1596.875,"Vc"
"3900","IN0122",22.7166666667,75.8,0.785257680925146,970,7116,0.5508,3,6,563,81,1,2,1350,1.568,1596.875,"Vc"
"3926","IN0148",22.7166666667,75.8,0.785257680925146,970,7116,0.5508,3,6,563,81,1,2,1350,1.568,1596.875,"Vc"
"3920","IN0142",17.5833333333,78.2833333333,0.769591548777946,881,7710,0.5008,3,7,549,67,2,5,1360,1.566,1596.875,"Vp"
"3921","IN0143",17.5833333333,78.2833333333,0.769591548777946,881,7710,0.5008,3,7,549,67,2,5,1360,1.566,1596.875,"Vp"
"3906","IN0128",17.6666666667,78.0833333333,0.767136096586428,930,7710,0.5289,3,7,504,67,1,7,1400,1.568,1596.875,"Vc"
"6197","SD0026",9.95,34.0166666667,0.765148496583574,774,7384,0.3915,3,8,488,72,1,7,1490,1.565,1596.875,"Vc"
"3923","IN0145",18.05,78.25,0.753614414300418,1090,7879,0.6137,3,7,454,67,2,7,1390,1.566,1596.875,"Vc"
"2556","CF0024",6.68333333333,17.7666666667,0.746295626664307,1383,7461,0.6526,3,9,456,67,4,2,1200,1.564,1596.875,"Vc"
"3821","IN0043",21.5,79.0833333333,0.739803231041356,1027,7814,0.5771,3,6,434,67,5,6,1210,1.567,1596.875,"Vp"
"1004","BR0384",-7.38,-36,0.729417586100267,430,7264,0.2823,3,9,407,67,6,6,1230,1.562,1596.875,"Vp"
"7641","VE0077",9.84,-66.33,0.718306582994325,932,7318,0.5636,3,10,400,72,10,6,1160,1.561,1596.875,"Vc"
"3934","IN0156",21.0333333333,79.0666666667,0.69903871511585,1107,7814,0.6016,3,6,306,81,1,7,1360,1.569,1551.25,"Vc"
"3898","IN0120",21.1,79.05,0.698902150106443,1091,7814,0.5922,3,6,310,81,1,7,1350,1.569,1551.25,"Vc"
"3913","IN0135",21.1,79.05,0.698902150106443,1091,7814,0.5922,3,6,310,81,1,7,1350,1.569,1551.25,"Vc"
"3822","IN0044",21.1333333333,78.9666666667,0.698808672381196,1063,7658,0.5796,3,6,321,81,2,7,1340,1.565,1551.25,"Vc"
"3820","IN0042",21.2416666667,79.05,0.697449346372391,1056,7814,0.5773,3,6,324,81,3,7,1320,1.567,1551.25,"Vc"
"3933","IN0155",21.2166666667,78.25,0.697160444850161,949,7689,0.5328,3,6,398,81,2,6,1280,1.563,1551.25,"Vc"
"3937","IN0159",21.1,77.1333333333,0.696457392041267,763,7639,0.4123,3,6,313,72,1,7,1400,1.569,1551.25,"Vc"
"3925","IN0147",21.1666666667,79.2,0.693056534768153,1115,7814,0.6082,3,6,281,67,1,7,1340,1.568,1551.25,"Vc"
"4318","KE0178",-4.11,39.02,0.68999924718215,721,7646,0.4511,3,8,299,60,2,7,1510,1.567,1551.25,"Vp"
"3896","IN0118",20.9333333333,77.7833333333,0.686386288214095,826,8061,0.4623,3,6,357,81,3,6,1310,1.567,1551.25,"Vc"
"3914","IN0136",20.9333333333,77.7833333333,0.686386288214095,826,8061,0.4623,3,6,357,81,3,6,1310,1.567,1551.25,"Vc"
"3935","IN0157",20.6666666667,77.0833333333,0.684526600868022,778,8013,0.4141,3,6,305,81,2,7,1380,1.569,1551.25,"Vc"
"3936","IN0158",20.6666666667,77.0833333333,0.684526600868022,778,8013,0.4141,3,6,305,81,2,7,1380,1.569,1551.25,"Vc"
"3810","IN0032",20.5,78.5,0.677645104056838,1048,8070,0.5683,3,6,236,81,1,7,1340,1.567,1551.25,"Vp"
"6512","TG0008",9.75,1.33333333333,0.670838278230121,1207,7993,0.6386,3,8,397,67,6,6,1210,1.561,1551.25,"Vc"
