WISE3_ID,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,CLIM_PRECIPITATION_DATA,CLIM_GDD,CLIM_ARIDITY_INDEX,CLIM_KOPGEIGER,CKIM_FAO_LGP,CLIM_MODIS_evapotrans,clim_precip_novdecjan,clim_precip_febmarapr,clim_precip_mayjunjul,clim_precip_augsepoct,topog_elevation,topog_geolage,topog_slope_global,topog_landform_global,topog_twi_global,topog_topi_global,topog_israd_global,landcover_modis_2012,vegind_modis_evi_m,vegind_modis_evi_sd,WISE3_FAO_74
AF0001,34.5,69.1666666667,329.0,1673.0,0.2618,5,4,1284.0,33.0,84.0,13.0,4.0,1813.0,80,15,3,1150.0,1.549,1825.0,10,699.0,155.0,Bk
AF0002,34.5,69.1666666667,329.0,1673.0,0.2618,5,4,1284.0,33.0,84.0,13.0,4.0,1813.0,80,15,3,1150.0,1.549,1825.0,10,699.0,155.0,Jc
AF0003,34.5,69.1666666667,329.0,1673.0,0.2618,5,4,1284.0,33.0,84.0,13.0,4.0,1813.0,80,15,3,1150.0,1.549,1825.0,10,699.0,155.0,Jc
AF0004,34.3333333333,61.4333333333,220.0,4207.0,0.1423,6,4,0.0,28.0,42.0,2.0,1.0,792.0,11,1,5,1560.0,1.566,1596.875,7,728.0,123.0,Zo
AF0005,32.3833333333,62.1333333333,79.0,4991.0,0.0443,4,2,506.0,11.0,15.0,1.0,0.0,662.0,11,2,5,1410.0,1.556,1505.625,16,1311.0,243.0,Zo
AL0001,40.6166666667,20.75,844.0,1850.0,0.8559,8,7,4314.0,94.0,70.0,51.0,65.0,844.0,9,3,5,1280.0,1.532,1596.875,12,2456.0,1163.0,Lk
AL0002,39.635,20.3005555556,1245.0,3226.0,1.2111,8,11,5803.0,186.0,114.0,39.0,77.0,634.0,72,68,6,690.0,1.53,1277.5,8,3117.0,540.0,Be
AL0003,42.2222222222,20.3861111111,1021.0,1685.0,1.0493,13,8,5424.0,113.0,86.0,65.0,76.0,439.0,10,4,5,1150.0,1.515,1596.875,14,3063.0,807.0,Lf
AL0004,41.0777777778,19.5611111111,1035.0,3078.0,1.0157,127,11,4600.0,139.0,93.0,45.0,68.0,7.0,45,7,6,1190.0,1.555,1505.625,12,3272.0,787.0,Bk
AL0005,41.4236111111,19.5111111111,1154.0,3078.0,1.1494,127,11,4769.0,152.0,105.0,50.0,77.0,4.0,72,1,6,1320.0,1.565,1505.625,12,3320.0,790.0,Jc
AL0006,41.1766666667,19.5408333333,1053.0,3078.0,1.0436,127,11,4368.0,140.0,95.0,46.0,70.0,9.0,72,1,6,1300.0,1.559,1505.625,12,3119.0,997.0,Jc
AL0007,41.0694444444,19.9955555556,1067.0,3078.0,1.0113,8,11,4361.0,137.0,97.0,55.0,68.0,73.0,50,5,6,1200.0,1.527,1551.25,12,3107.0,705.0,Be
AL0008,40.215,20.6472222222,1004.0,1795.0,1.0636,8,7,5220.0,127.0,88.0,51.0,69.0,996.0,11,7,5,980.0,1.528,1642.5,5,3137.0,1061.0,Be
AL0009,40.6372222222,20.7844444444,828.0,1850.0,0.8324,8,7,4224.0,92.0,69.0,51.0,64.0,835.0,45,6,5,1220.0,1.53,1596.875,12,2751.0,835.0,Kk
