"ID","texture","sand","silt","clay","bulk_density"
"1","SAND","88","2","10","1.47"
"2","LOAMY SAND","80","15","5","1.43"
"3","SANDY LOAM","65","25","10","1.46"
"4","LOAM","40","40","20","1.43"
"5","SILT LOAM","20","65","15","1.38"
"6","SILT","10","85","5","1.38"
"7","SANDY CLAY LOAM","60","15","25","1.5"
"8","CLAY LOAM","30","35","35","1.39"
"9","SILTY CLAY LOAM","10","55","35","1.3"
"10","SILTY CLAY","10","45","45","1.26"
"11","SANDY CLAY","50","10","40","1.47"
"12","CLAY","25","25","50","1.33"
